name,url,threshold
Archer VR300,"https://www.akakce.com/modem/en-ucuz-tp-link-archer-vr300-1200mbps-vdsl2-fiyati,282052642.html",2198
Tapo C210,"https://www.akakce.com/guvenlik-kamerasi/en-ucuz-tp-link-tapo-c210-ev-guvenligi-icin-pan-tilt-kablosuz-kamera-fiyati,201390126.html",1298
TL-MR100,"https://www.akakce.com/modem/en-ucuz-tp-link-tl-mr100-2-port-300-mbps-fiyati,748565612.html",2398
Archer VR400,"https://www.akakce.com/modem/en-ucuz-tp-link-archer-vr400-1200-mbps-vdsl2-fiyati,22537048.html",2398
